                           Z                           N                  exp_values               uncertainties                c_parameters                       error
                          64                          69     -0.1058905424000000E+04      0.5320000000000000E+00     -0.1080511300277825E+04      0.2912562703653779E-06
                          64                          70     -0.1072497424000000E+04      0.4020000000000000E+00     -0.1091177747394605E+04      0.2949502010964338E-06
                          64                          71     -0.1083608424000000E+04      0.4050000000000000E+00     -0.1100540217703287E+04      0.2966445175141715E-06
                          64                          72     -0.1096397424000000E+04      0.2720000000000000E+00     -0.1111206664820067E+04      0.2990726373627778E-06
                          64                          73     -0.1106653424000000E+04      0.2740000000000000E+00     -0.1120569135128749E+04      0.3023383827111644E-06
                          64                          74     -0.1119287424000000E+04      0.1380000000000000E+00     -0.1131235582245529E+04      0.3035391850429695E-06
                          64                          75     -0.1129207424000000E+04      0.1390000000000000E+00     -0.1140598052554211E+04      0.3083209345709614E-06
                          64                          76     -0.1141389924000000E+04      0.2800000000000000E-01     -0.1144001422947468E+04      0.2555253718839362E-06
                          64                          77     -0.1150903152000000E+04      0.1974000000000000E-01     -0.1153363893256150E+04      0.2553155808306165E-06
                          64                          78     -0.1162709776000000E+04      0.2797400000000000E-01     -0.1164030340372930E+04      0.2605534180007072E-06
                          64                          79     -0.1172052898000000E+04      0.2003430000000000E+00     -0.1173392810681612E+04      0.2621881392572679E-06
                          64                          80     -0.1183652352000000E+04      0.2793600000000000E-01     -0.1184059257798392E+04      0.2659430855134239E-06
                          64                          81     -0.1192890594000000E+04      0.1972000000000000E-01     -0.1193421728107074E+04      0.2693361618212889E-06
                          64                          82     -0.1204121300000000E+04      0.4088000000000000E-02     -0.1196825098500330E+04      0.2262720233815943E-06
                          64                          83     -0.1211463816000000E+04      0.1911000000000000E-02     -0.1206187568809012E+04      0.2235673057441854E-06
                          64                          84     -0.1220447448000000E+04      0.1628000000000000E-02     -0.1216854015925792E+04      0.2322497431295770E-06
                          64                          85     -0.1227376540000000E+04      0.3427000000000000E-02     -0.1226216486234474E+04      0.2317001541068842E-06
                          64                          86     -0.1236084774000000E+04      0.6150000000000000E-02     -0.1229619856627730E+04      0.2051069761285521E-06
                          64                          87     -0.1242580917000000E+04      0.3020000000000000E-02     -0.1238982326936412E+04      0.1969288150228094E-06
                          64                          88     -0.1251170376000000E+04      0.1216000000000000E-02     -0.1249648774053192E+04      0.2114546282140850E-06
                          64                          89     -0.1257417378000000E+04      0.1224000000000000E-02     -0.1251748167638351E+04      0.1785275307244853E-06
                          64                          90     -0.1266312008000000E+04      0.1232000000000000E-02     -0.1262414614755131E+04      0.2012401871049729E-06
                          64                          91     -0.1272747329000000E+04      0.1240000000000000E-02     -0.1271777085063813E+04      0.1874525922277685E-06
                          64                          92     -0.1281283656000000E+04      0.1248000000000000E-02     -0.1275180455457069E+04      0.2104216963292805E-06
                          64                          93     -0.1287643552000000E+04      0.1256000000000000E-02     -0.1284542925765751E+04      0.1894339463064835E-06
                          64                          94     -0.1295580826000000E+04      0.1264000000000000E-02     -0.1295209372882531E+04      0.2156043884375703E-06
                          64                          95     -0.1301524050000000E+04      0.1113000000000000E-02     -0.1297308766467689E+04      0.2112512484241115E-06
                          64                          96     -0.1308975664000000E+04      0.1280000000000000E-02     -0.1307975213584469E+04      0.2406668949681901E-06
                          64                          97     -0.1314611175000000E+04      0.1610000000000000E-02     -0.1317337683893152E+04      0.2178468704341689E-06
                          64                          98     -0.1321457094000000E+04      0.4050000000000000E-02     -0.1320741054286407E+04      0.2781204426518864E-06
                          64                          99     -0.1326561835000000E+04      0.8475999999999999E-02     -0.1330103524595090E+04      0.2526949812432037E-06
                          64                         100     -0.1333013424000000E+04      0.1640000000000000E+00     -0.1340769971711870E+04      0.2812876046668529E-06
                          64                         101     -0.1337843424000000E+04      0.1650000000000000E+00     -0.1342869365297028E+04      0.2970645929763507E-06
                          64                         102     -0.1343961424000000E+04      0.1660000000000000E+00     -0.1353535812413808E+04      0.3258968663036063E-06
                          64                         103     -0.1348385424000000E+04      0.3340000000000000E+00     -0.1355635205998966E+04      0.3473256620551771E-06
                          64                         104     -0.1353941424000000E+04      0.3360000000000000E+00     -0.1366301653115746E+04      0.3758855446289015E-06
                          64                         105     -0.1357777424000000E+04      0.5070000000000000E+00     -0.1375664123424428E+04      0.3502706935829116E-06
                          64                         106     -0.1363093424000000E+04      0.6800000000000000E+00     -0.1379067493817684E+04      0.4293789027450946E-06
                          65                          70     -0.1071311502000000E+04      0.4050000000000000E+00     -0.1093555967010194E+04      0.2958406297776069E-06
                          65                          71     -0.1082649502000000E+04      0.5440000000000000E+00     -0.1102918437318876E+04      0.3770931576712604E-06
                          65                          72     -0.1095544502000000E+04      0.4110000000000000E+00     -0.1113584884435656E+04      0.3010974985138674E-06
                          65                          73     -0.1106303502000000E+04      0.2760000000000000E+00     -0.1122947354744338E+04      0.3824904986316200E-06
                          65                          74     -0.1118909502000000E+04      0.2780000000000000E+00     -0.1133613801861118E+04      0.3066602389298737E-06
                          65                          75     -0.1129295582000000E+04      0.8005200000000000E+00     -0.1142976272169800E+04      0.3881256068202282E-06
                          65                          76     -0.1141425477000000E+04      0.1053270000000000E+00     -0.1153642719286580E+04      0.3125125178530740E-06
                          65                          77     -0.1151515496000000E+04      0.7006280000000000E+00     -0.1155742112871739E+04      0.3424361218701720E-06
                          65                          78     -0.1163446533000000E+04      0.5119400000000000E-01     -0.1166408559988519E+04      0.2588020803227322E-06
                          65                          79     -0.1173466830000000E+04      0.2793600000000000E-01     -0.1175771030297201E+04      0.3485803726625943E-06
                          65                          80     -0.1185558347000000E+04      0.1091850000000000E+00     -0.1186437477413981E+04      0.2655284579319497E-06
                          65                          81     -0.1195004818000000E+04      0.4482200000000000E-01     -0.1195799947722663E+04      0.3549603189017394E-06
                          65                          82     -0.1206055230000000E+04      0.8085000000000000E-02     -0.1206466394839443E+04      0.2725343653728576E-06
                          65                          83     -0.1213921010000000E+04      0.1243200000000000E-01     -0.1208565788424601E+04      0.3161233365312724E-06
                          65                          84     -0.1222943937000000E+04      0.3725000000000000E-02     -0.1219232235541381E+04      0.2256225792925408E-06
                          65                          85     -0.1230632202000000E+04      0.7350000000000000E-02     -0.1228594705850063E+04      0.3229950296938025E-06
                          65                          86     -0.1239221325000000E+04      0.4077000000000000E-02     -0.1239261152966843E+04      0.2336202905188043E-06
                          65                          87     -0.1246386110000000E+04      0.3997600000000000E-01     -0.1241360546552001E+04      0.2931186615549806E-06
                          65                          88     -0.1255053846000000E+04      0.3978000000000000E-02     -0.1252026993668781E+04      0.1971411493310484E-06
                          65                          89     -0.1261968066000000E+04      0.4527600000000000E-01     -0.1261389463977463E+04      0.3003558698894105E-06
                          65                          90     -0.1271133172000000E+04      0.9920000000000000E-02     -0.1264792834370720E+04      0.1764821510640755E-06
                          65                          91     -0.1278045186000000E+04      0.3744000000000000E-02     -0.1274155304679402E+04      0.2818901093723419E-06
                          65                          92     -0.1286789168000000E+04      0.1256000000000000E-02     -0.1284821751796182E+04      0.1854254982211529E-06
                          65                          93     -0.1293567676000000E+04      0.1422000000000000E-02     -0.1294184222104864E+04      0.2892410864749280E-06
                          65                          94     -0.1301700702000000E+04      0.1272000000000000E-02     -0.1297587592498120E+04      0.1852553829588840E-06
                          65                          95     -0.1308075902000000E+04      0.1280000000000000E-02     -0.1306950062806802E+04      0.2838387146429582E-06
                          65                          96     -0.1315772621000000E+04      0.1288000000000000E-02     -0.1317616509923582E+04      0.1935445586411754E-06
                          65                          97     -0.1322058342000000E+04      0.3645000000000000E-01     -0.1319715903508740E+04      0.2923414955532263E-06
                          65                          98     -0.1329049681000000E+04      0.4075000000000000E-02     -0.1330382350625521E+04      0.2122547110062121E-06
                          65                          99     -0.1334602962000000E+04      0.1000400000000000E+00     -0.1332481744210678E+04      0.3136204846332385E-06
                          65                         100     -0.1341131502000000E+04      0.1650000000000000E+00     -0.1343148191327459E+04      0.2462514015720812E-06
                          65                         101     -0.1346552382000000E+04      0.7005200000000000E-01     -0.1352510661636141E+04      0.3190304922552145E-06
                          65                         102     -0.1352715502000000E+04      0.1670000000000000E+00     -0.1355914032029397E+04      0.2902112462935548E-06
                          65                         103     -0.1357457502000000E+04      0.3360000000000000E+00     -0.1365276502338079E+04      0.3497575417170277E-06
                          65                         104     -0.1363173502000000E+04      0.3380000000000000E+00     -0.1368679872731335E+04      0.3402947346660868E-06
                          65                         105     -0.1367671502000000E+04      0.3400000000000000E+00     -0.1378042343040017E+04      0.3884267566149798E-06
                          65                         106     -0.1372982502000000E+04      0.5130000000000000E+00     -0.1388708790156797E+04      0.3432567848455167E-06
                          65                         107     -0.1376885502000000E+04      0.5160000000000000E+00     -0.1390808183741955E+04      0.4329150918922640E-06
                          66                          72     -0.1096769293000000E+04      0.5520000000000000E+00     -0.1117157951942263E+04      0.3053562194046527E-06
                          66                          73     -0.1107638293000000E+04      0.5560000000000000E+00     -0.1126520422250945E+04      0.3056749011974506E-06
                          66                          74     -0.1120789293000000E+04      0.4200000000000000E+00     -0.1137186869367725E+04      0.3092370053047099E-06
                          66                          75     -0.1131476293000000E+04      0.2820000000000000E+00     -0.1146549339676407E+04      0.3111011998364522E-06
                          66                          76     -0.1144331293000000E+04      0.7100000000000000E+00     -0.1157215786793188E+04      0.3134571793972338E-06
                          66                          77     -0.1154401729000000E+04      0.1301300000000000E-01     -0.1166578257101870E+04      0.3168178356759775E-06
                          66                          78     -0.1166874109000000E+04      0.7200000000000000E-02     -0.1169981627495126E+04      0.2641696903809541E-06
                          66                          79     -0.1176618053000000E+04      0.6525000000000000E-02     -0.1179344097803808E+04      0.2624325271436455E-06
                          66                          80     -0.1189001645000000E+04      0.6716000000000000E-02     -0.1190010544920588E+04      0.2689177879944322E-06
                          66                          81     -0.1198714042000000E+04      0.8820000000000000E-02     -0.1199373015229270E+04      0.2690049986222105E-06
                          66                          82     -0.1210448857000000E+04      0.8732000000000000E-02     -0.1210039462346050E+04      0.2740268257466578E-06
                          66                          83     -0.1218356534000000E+04      0.9238000000000000E-02     -0.1219401932654732E+04      0.2758610527232730E-06
                          66                          84     -0.1228041643000000E+04      0.4350000000000000E-02     -0.1222805303047988E+04      0.2322435106564130E-06
                          66                          85     -0.1235555671000000E+04      0.3322000000000000E-02     -0.1232167773356670E+04      0.2278436650932139E-06
                          66                          86     -0.1244992525000000E+04      0.4560000000000000E-02     -0.1242834220473450E+04      0.2379374839931511E-06
                          66                          87     -0.1252088890000000E+04      0.3978000000000000E-02     -0.1252196690782132E+04      0.2356939548799894E-06
                          66                          88     -0.1261411159000000E+04      0.7392000000000000E-02     -0.1255600061175389E+04      0.2076444507860994E-06
                          66                          89     -0.1268244163000000E+04      0.9610000000000000E-02     -0.1264962531484071E+04      0.1975365290788772E-06
                          66                          90     -0.1277688841000000E+04      0.1248000000000000E-02     -0.1275628978600851E+04      0.2137678402081126E-06
                          66                          91     -0.1284655732000000E+04      0.5181000000000000E-02     -0.1284991448909533E+04      0.2063076791648741E-06
                          66                          92     -0.1293709833000000E+04      0.2370000000000000E-02     -0.1288394819302789E+04      0.1996353821359189E-06
                          66                          93     -0.1300540990000000E+04      0.1590000000000000E-02     -0.1297757289611471E+04      0.1835416112929161E-06
                          66                          94     -0.1309117933000000E+04      0.8000000000000000E-03     -0.1308423736728251E+04      0.2057620734818242E-06
                          66                          95     -0.1315572203000000E+04      0.8050000000000001E-03     -0.1310523130313409E+04      0.1811278883462273E-06
                          66                          96     -0.1323769327000000E+04      0.8100000000000000E-03     -0.1321189577430190E+04      0.2101219927016120E-06
                          66                          97     -0.1330040248000000E+04      0.8150000000000000E-03     -0.1330552047738872E+04      0.1895079523120810E-06
                          66                          98     -0.1337698389000000E+04      0.8200000000000000E-03     -0.1333955418132128E+04      0.2322920511283438E-06
                          66                          99     -0.1343414278000000E+04      0.8250000000000000E-03     -0.1343317888440810E+04      0.2066123846489482E-06
                          66                         100     -0.1350457773000000E+04      0.8300000000000000E-03     -0.1353984335557590E+04      0.2366582261221578E-06
                          66                         101     -0.1355874957000000E+04      0.6028700000000000E-01     -0.1356083729142748E+04      0.2397065190150078E-06
                          66                         102     -0.1362575341000000E+04      0.1399440000000000E+00     -0.1366750176259528E+04      0.2710555032310667E-06
                          66                         103     -0.1367684240000000E+04      0.3006510000000000E+00     -0.1368849569844686E+04      0.2832399641530477E-06
                          66                         104     -0.1373779293000000E+04      0.1700000000000000E+00     -0.1379516016961466E+04      0.3145316835226102E-06
                          66                         105     -0.1378442293000000E+04      0.3420000000000000E+00     -0.1388878487270148E+04      0.2873240393874928E-06
                          66                         106     -0.1384269293000000E+04      0.3440000000000000E+00     -0.1392281857663404E+04      0.3638466686867538E-06
                          66                         107     -0.1388340293000000E+04      0.3460000000000000E+00     -0.1401644327972087E+04      0.3361196071119870E-06
                          66                         108     -0.1393757293000000E+04      0.5220000000000000E+00     -0.1405047698365343E+04      0.4169337368893165E-06
                          67                          73     -0.1106496793000000E+04      0.5600000000000001E+00     -0.1128680384032375E+04      0.3835355455926932E-06
                          67                          74     -0.1119619793000000E+04      0.4230000000000000E+00     -0.1139346831149155E+04      0.3103831540575869E-06
                          67                          75     -0.1130686793000000E+04      0.4260000000000000E+00     -0.1148709301457837E+04      0.3887505812718563E-06
                          67                          76     -0.1143513793000000E+04      0.2860000000000000E+00     -0.1159375748574617E+04      0.3156679720483098E-06
                          67                          77     -0.1154118761000000E+04      0.8496000000000000E-02     -0.1168738218883299E+04      0.3942046261657122E-06
                          67                          78     -0.1166700603000000E+04      0.7395000000000000E-02     -0.1179404666000079E+04      0.3212438450407582E-06
                          67                          79     -0.1176890125000000E+04      0.6570000000000000E-02     -0.1188767136308762E+04      0.3998879009007567E-06
                          67                          80     -0.1189480232000000E+04      0.4998000000000000E-02     -0.1192170506702018E+04      0.2662149453073319E-06
                          67                          81     -0.1199785685000000E+04      0.8376800000000000E-01     -0.1201532977010700E+04      0.3529166908995922E-06
                          67                          82     -0.1211512384000000E+04      0.1192000000000000E-01     -0.1212199424127480E+04      0.2726261359856549E-06
                          67                          83     -0.1219883093000000E+04      0.1410000000000000E-01     -0.1221561894436162E+04      0.3591190752798960E-06
                          67                          84     -0.1229631219000000E+04      0.8305000000000000E-02     -0.1232228341552942E+04      0.2793248934217527E-06
                          67                          85     -0.1237684481000000E+04      0.1246400000000000E-01     -0.1234327735138100E+04      0.3182168950553001E-06
                          67                          86     -0.1247163254000000E+04      0.5049000000000000E-02     -0.1244994182254880E+04      0.2302418515961317E-06
                          67                          87     -0.1254861667000000E+04      0.8162000000000001E-02     -0.1254356652563562E+04      0.3249332013368443E-06
                          67                          88     -0.1264333258000000E+04      0.1751500000000000E-01     -0.1265023099680342E+04      0.2379327001633545E-06
                          67                          89     -0.1271843969000000E+04      0.6006000000000000E-01     -0.1267122493265500E+04      0.2924597272100926E-06
                          67                          90     -0.1281269145000000E+04      0.2339300000000000E-01     -0.1277788940382281E+04      0.1981325530759890E-06
                          67                          91     -0.1288695211000000E+04      0.2717600000000000E-01     -0.1287151410690963E+04      0.2995923206462087E-06
                          67                          92     -0.1297908488000000E+04      0.3021000000000000E-02     -0.1297817857807743E+04      0.2067859803928302E-06
                          67                          93     -0.1305033113000000E+04      0.1504000000000000E-01     -0.1299917251392901E+04      0.2781407736003768E-06
                          67                          94     -0.1313918952000000E+04      0.2254000000000000E-02     -0.1310583698509681E+04      0.1818257547996226E-06
                          67                          95     -0.1320834509000000E+04      0.3240000000000000E-02     -0.1319946168818363E+04      0.2854617837949589E-06
                          67                          96     -0.1329242577000000E+04      0.8150000000000000E-03     -0.1323349539211619E+04      0.1770759520574185E-06
                          67                          97     -0.1335917149000000E+04      0.1476000000000000E-02     -0.1332712009520301E+04      0.2770393221120037E-06
                          67                          98     -0.1343905853000000E+04      0.9900000000000000E-03     -0.1343378456637081E+04      0.1855359797628039E-06
                          67                          99     -0.1350149627000000E+04      0.9959999999999999E-03     -0.1345477850222240E+04      0.2828573249048320E-06
                          67                         100     -0.1357430086000000E+04      0.5177000000000000E-02     -0.1356144297339020E+04      0.2009340989358846E-06
                          67                         101     -0.1363282049000000E+04      0.3007200000000000E-01     -0.1365506767647702E+04      0.2893063777582328E-06
                          67                         102     -0.1370089285000000E+04      0.2011100000000000E-01     -0.1368910138040958E+04      0.2330676912636506E-06
                          67                         103     -0.1375602113000000E+04      0.4998000000000000E-01     -0.1378272608349640E+04      0.3075894749624440E-06
                          67                         104     -0.1381953761000000E+04      0.6000390000000000E+00     -0.1381675978742896E+04      0.2761552273159448E-06
                          67                         105     -0.1387008793000000E+04      0.1720000000000000E+00     -0.1391038449051578E+04      0.3369265710372435E-06
                          67                         106     -0.1392998793000000E+04      0.3460000000000000E+00     -0.1401704896168358E+04      0.2802743135344277E-06
                          67                         107     -0.1397398793000000E+04      0.3480000000000000E+00     -0.1403804289753516E+04      0.3747303933514308E-06
                          67                         108     -0.1402981793000000E+04      0.3500000000000000E+00     -0.1414470736870296E+04      0.3288623972578669E-06
                          67                         109     -0.1407128793000000E+04      0.5280000000000000E+00     -0.1416570130455454E+04      0.4187139183247690E-06
                          68                          74     -0.1120591998000000E+04      0.5679999999999999E+00     -0.1142701640821603E+04      0.3163331726213017E-06
                          68                          75     -0.1131917998000000E+04      0.4290000000000000E+00     -0.1152064111130285E+04      0.3152286362526001E-06
                          68                          76     -0.1145307998000000E+04      0.1440000000000000E+00     -0.1162730558247066E+04      0.3199547356162037E-06
                          68                          77     -0.1156018998000000E+04      0.1450000000000000E+00     -0.1172093028555748E+04      0.3203672212526377E-06
                          68                          78     -0.1169178750000000E+04      0.6716000000000000E-02     -0.1182759475672528E+04      0.3239107326578311E-06
                          68                          79     -0.1179535823000000E+04      0.3822000000000000E-01     -0.1192121945981210E+04      0.3257974722703060E-06
                          68                          80     -0.1192478414000000E+04      0.1021200000000000E-01     -0.1202788393097990E+04      0.3281890701466956E-06
                          68                          81     -0.1202812293000000E+04      0.2801200000000000E-01     -0.1204887786683148E+04      0.2701572364118762E-06
                          68                          82     -0.1214973248000000E+04      0.1725000000000000E-01     -0.1215554233799928E+04      0.2779252368611521E-06
                          68                          83     -0.1223479670000000E+04      0.1645900000000000E-01     -0.1224916704108610E+04      0.2764001490381134E-06
                          68                          84     -0.1233785046000000E+04      0.8815999999999999E-02     -0.1235583151225390E+04      0.2827288698296515E-06
                          68                          85     -0.1241824529000000E+04      0.9332999999999999E-02     -0.1244945621534072E+04      0.2829344898311304E-06
                          68                          86     -0.1252032366000000E+04      0.4928000000000000E-02     -0.1248348991927328E+04      0.2390096441480349E-06
                          68                          87     -0.1259707818000000E+04      0.6045000000000000E-02     -0.1257711462236010E+04      0.2328282414075027E-06
                          68                          88     -0.1269781646000000E+04      0.2464800000000000E-01     -0.1268377909352791E+04      0.2443809732049522E-06
                          68                          89     -0.1277054873000000E+04      0.2653300000000000E-01     -0.1277740379661473E+04      0.2403479699573636E-06
                          68                          90     -0.1287016306000000E+04      0.2528000000000000E-01     -0.1281143750054729E+04      0.2111105891831606E-06
                          68                          91     -0.1294344905000000E+04      0.3657000000000000E-02     -0.1290506220363411E+04      0.1989468164198096E-06
                          68                          92     -0.1303919358000000E+04      0.2432000000000000E-01     -0.1301172667480191E+04      0.2169502349666750E-06
                          68                          93     -0.1311128102000000E+04      0.8855000000000000E-02     -0.1310535137788873E+04      0.2074638907070285E-06
                          68                          94     -0.1320332312000000E+04      0.8100000000000000E-03     -0.1313938508182129E+04      0.1989187017170599E-06
                          68                          95     -0.1327236781000000E+04      0.4564000000000000E-02     -0.1323300978490812E+04      0.1803041310904798E-06
                          68                          96     -0.1336083278000000E+04      0.8200000000000000E-03     -0.1333967425607592E+04      0.2048698293981803E-06
                          68                          97     -0.1342733438000000E+04      0.9900000000000000E-03     -0.1336066819192750E+04      0.1731271720338791E-06
                          68                          98     -0.1351209192000000E+04      0.1162000000000000E-02     -0.1346733266309530E+04      0.2052523253909394E-06
                          68                          99     -0.1357645580000000E+04      0.1169000000000000E-02     -0.1356095736618212E+04      0.1816541267658313E-06
                          68                         100     -0.1365416966000000E+04      0.1176000000000000E-02     -0.1359499107011468E+04      0.2242331630832000E-06
                          68                         101     -0.1371420209000000E+04      0.1183000000000000E-02     -0.1368861577320150E+04      0.1952364833202432E-06
                          68                         102     -0.1378677028000000E+04      0.1530000000000000E-02     -0.1379528024436930E+04      0.2285766445243785E-06
                          68                         103     -0.1384358564000000E+04      0.1539000000000000E-02     -0.1381627418022088E+04      0.2263437017781031E-06
                          68                         104     -0.1391194518000000E+04      0.3956000000000000E-02     -0.1392293865138868E+04      0.2608733436171206E-06
                          68                         105     -0.1396445998000000E+04      0.1730000000000000E+00     -0.1401656335447550E+04      0.2319923475033415E-06
                          68                         106     -0.1402779998000000E+04      0.3480000000000000E+00     -0.1405059705840806E+04      0.3030802610944650E-06
                          68                         107     -0.1407518998000000E+04      0.3500000000000000E+00     -0.1414422176149488E+04      0.2731121763223200E-06
                          68                         108     -0.1413627998000000E+04      0.3520000000000000E+00     -0.1417825546542745E+04      0.3516468572124055E-06
                          68                         109     -0.1417944998000000E+04      0.5310000000000000E+00     -0.1427188016851427E+04      0.3214890304164000E-06
                          68                         110     -0.1423465998000000E+04      0.5340000000000000E+00     -0.1437854463968207E+04      0.3533363234184393E-06
                          69                          75     -0.1130174905000000E+04      0.4320000000000000E+00     -0.1154005815077556E+04      0.3904558531050075E-06
                          69                          76     -0.1143535905000000E+04      0.1450000000000000E+00     -0.1164672262194336E+04      0.3202176545357849E-06
                          69                          77     -0.1155074905000000E+04      0.1460000000000000E+00     -0.1174034732503018E+04      0.3954668244602196E-06
                          69                          78     -0.1168107004000000E+04      0.6909000000000000E-02     -0.1184701179619798E+04      0.3252055486139894E-06
                          69                          79     -0.1178968905000000E+04      0.1021200000000000E-01     -0.1194063649928480E+04      0.4007181283876019E-06
                          69                          80     -0.1192226905000000E+04      0.1490000000000000E+00     -0.1204730097045260E+04      0.3304855890464421E-06
                          69                          81     -0.1202780905000000E+04      0.1500000000000000E+00     -0.1214092567353943E+04      0.4062004440339729E-06
                          69                          82     -0.1215190569000000E+04      0.1947900000000000E-01     -0.1217495937747199E+04      0.2742671431773476E-06
                          69                          83     -0.1224209481000000E+04      0.5396000000000000E-01     -0.1226858408055881E+04      0.3577256075443534E-06
                          69                          84     -0.1234533838000000E+04      0.1193400000000000E-01     -0.1237524855172661E+04      0.2803351834192713E-06
                          69                          85     -0.1243058937000000E+04      0.1447600000000000E-01     -0.1246887325481343E+04      0.3637233373402313E-06
                          69                          86     -0.1253329030000000E+04      0.9920000000000000E-02     -0.1257553772598123E+04      0.2866983387532810E-06
                          69                          87     -0.1261608973000000E+04      0.1435200000000000E-01     -0.1259653166183281E+04      0.3208100689279235E-06
                          69                          88     -0.1271555101000000E+04      0.2794600000000000E-01     -0.1270319613300061E+04      0.2356136747222190E-06
                          69                          89     -0.1279620347000000E+04      0.2528000000000000E-01     -0.1279682083608743E+04      0.3273368749109744E-06
                          69                          90     -0.1289558791000000E+04      0.2798400000000000E-01     -0.1290348530725523E+04      0.2429510230793170E-06
                          69                          91     -0.1297361785000000E+04      0.3424000000000000E-01     -0.1292447924310682E+04      0.2922832333818515E-06
                          69                          92     -0.1307029795000000E+04      0.2801400000000000E-01     -0.1303114371427462E+04      0.1999967262920746E-06
                          69                          93     -0.1314680161000000E+04      0.2608200000000000E-01     -0.1312476841736144E+04      0.2992709330775350E-06
                          69                          94     -0.1324002482000000E+04      0.5542000000000000E-02     -0.1323143288852924E+04      0.2083587289861670E-06
                          69                          95     -0.1331249077000000E+04      0.2443600000000000E-01     -0.1325242682438082E+04      0.2747704039098983E-06
                          69                          96     -0.1340345995000000E+04      0.1650000000000000E-02     -0.1335909129554862E+04      0.1790041214526483E-06
                          69                          97     -0.1347375941000000E+04      0.1162000000000000E-01     -0.1345271599863544E+04      0.2820206574911884E-06
                          69                          98     -0.1356102600000000E+04      0.1336000000000000E-02     -0.1348674970256800E+04      0.1693124783248369E-06
                          69                          99     -0.1362943177000000E+04      0.1680000000000000E-02     -0.1358037440565482E+04      0.2704199685147455E-06
                          69                         100     -0.1370976842000000E+04      0.8450000000000000E-03     -0.1368703887682262E+04      0.1778908615544105E-06
                          69                         101     -0.1377568795000000E+04      0.8500000000000000E-03     -0.1370803281267421E+04      0.2733375052173233E-06
                          69                         102     -0.1385054608000000E+04      0.1026000000000000E-02     -0.1381469728384201E+04      0.1895389751055907E-06
                          69                         103     -0.1391289957000000E+04      0.5504000000000000E-02     -0.1390832198692883E+04      0.2798464615396654E-06
                          69                         104     -0.1398243004000000E+04      0.4325000000000000E-02     -0.1394235569086139E+04      0.2195450108992349E-06
                          69                         105     -0.1403922613000000E+04      0.4471800000000000E-01     -0.1403598039394821E+04      0.2958987986850049E-06
                          69                         106     -0.1410439955000000E+04      0.5005000000000000E-01     -0.1414264486511601E+04      0.2252603582739435E-06
                          69                         107     -0.1415572201000000E+04      0.9996800000000000E-01     -0.1416363880096759E+04      0.3237179024356653E-06
                          69                         108     -0.1421825905000000E+04      0.3540000000000000E+00     -0.1427030327213539E+04      0.2658436427233427E-06
                          69                         109     -0.1426478905000000E+04      0.3560000000000000E+00     -0.1436392797522221E+04      0.3285691776872507E-06
                          69                         110     -0.1431988905000000E+04      0.5370000000000000E+00     -0.1439796167915477E+04      0.3140041082697606E-06
                          69                         111     -0.1436390905000000E+04      0.5400000000000000E+00     -0.1449158638224159E+04      0.3644866396182963E-06
                          69                         112     -0.1441657905000000E+04      0.5430000000000000E+00     -0.1452562008617415E+04      0.3667689216813758E-06
                          70                          78     -0.1169705509000000E+04      0.4440000000000000E+00     -0.1187837731458087E+04      0.3312671914435516E-06
                          70                          79     -0.1180740509000000E+04      0.2980000000000000E+00     -0.1197200201766769E+04      0.3301894682274317E-06
                          70                          80     -0.1194217509000000E+04      0.3000000000000000E+00     -0.1207866648883549E+04      0.3349437305427322E-06
                          70                          81     -0.1205164514000000E+04      0.3004900000000000E+00     -0.1217229119192231E+04      0.3353149892685741E-06
                          70                          82     -0.1217963781000000E+04      0.1497200000000000E+00     -0.1227895566309011E+04      0.3389386762793350E-06
                          70                          83     -0.1226983509000000E+04      0.1530000000000000E+00     -0.1229994959894170E+04      0.2785522151958653E-06
                          70                          84     -0.1237768115000000E+04      0.1724800000000000E-01     -0.1240661407010950E+04      0.2876248475235072E-06
                          70                          85     -0.1246410074000000E+04      0.1658500000000000E-01     -0.1250023877319632E+04      0.2844392153139198E-06
                          70                          86     -0.1257244425000000E+04      0.9360000000000000E-02     -0.1260690324436412E+04      0.2921017803421112E-06
                          70                          87     -0.1265471928000000E+04      0.1099000000000000E-01     -0.1270052794745094E+04      0.2906247941442621E-06
                          70                          88     -0.1276131583000000E+04      0.8057999999999999E-02     -0.1273456165138350E+04      0.2466327256347122E-06
                          70                          89     -0.1284031275000000E+04      0.1780800000000000E-01     -0.1282818635447032E+04      0.2386086556406977E-06
                          70                          90     -0.1294426629000000E+04      0.7200000000000000E-02     -0.1293485082563812E+04      0.2516473167711557E-06
                          70                          91     -0.1302174646000000E+04      0.1529500000000000E-01     -0.1302847552872494E+04      0.2457528592461589E-06
                          70                          92     -0.1312233039000000E+04      0.1539000000000000E-01     -0.1313513999989274E+04      0.2570366041390974E-06
                          70                          93     -0.1319777003000000E+04      0.1532200000000000E-01     -0.1315613393574433E+04      0.2012993095938783E-06
                          70                          94     -0.1329566653000000E+04      0.1541600000000000E-01     -0.1326279840691213E+04      0.2211067438032179E-06
                          70                          95     -0.1336915944000000E+04      0.2656500000000000E-01     -0.1335642310999895E+04      0.2094876197821197E-06
                          70                          96     -0.1346287695000000E+04      0.7138000000000000E-02     -0.1339045681393151E+04      0.1992578548271693E-06
                          70                          97     -0.1353353744000000E+04      0.4008000000000000E-02     -0.1348408151701833E+04      0.1779540156819493E-06
