                           Z                           N                  exp_values               uncertainties                c_parameters                       error
                           7                          10     -0.1238643820000000E+03      0.1499400000000000E-01     -0.1365462791747818E+03      0.2066944280645596E-06
                           7                          11     -0.1266926050000000E+03      0.1857600000000000E-01     -0.1459087494834640E+03      0.2902588707935321E-06
                           7                          12     -0.1320208060000000E+03      0.1639700000000000E-01     -0.1493121198767200E+03      0.2195827519247401E-06
                           7                          13     -0.1341819090000000E+03      0.7890000000000000E-01     -0.1586745901854022E+03      0.2944677889422422E-06
                           7                          14     -0.1387878040000000E+03      0.1340430000000000E+00     -0.1620779605786582E+03      0.2484063355872968E-06
                           7                          15     -0.1403262370000000E+03      0.2077900000000000E+00     -0.1714404308873403E+03      0.3117169704104828E-06
                           7                          16     -0.1434419220000000E+03      0.4205780000000000E+00     -0.1748438012805964E+03      0.2884266881620629E-06
                           7                          17     -0.1412864890000000E+03      0.4080000000000000E+00     -0.1769431948657545E+03      0.3809500793830268E-06
                           7                          18     -0.1403234890000000E+03      0.5000000000000000E+00     -0.1876096419825346E+03      0.3356625174122414E-06
                           8                           4     -0.5868034500000000E+02      0.2400000000000000E-01     -0.7909899487209424E+02      0.2789174759282589E-06
                           8                           5     -0.7555083999999999E+02      0.9528999999999999E-02     -0.9572454190430038E+02      0.2204275955487995E-06
                           8                           6     -0.9872981299999999E+02      0.2800000000000000E-04     -0.1063909890210804E+03      0.2454928366946179E-06
                           8                           7     -0.1119533010000000E+03      0.4950000000000000E-03     -0.1157534593297626E+03      0.2136686686918338E-06
                           8                           8     -0.1276172170000000E+03      0.1000000000000000E-05     -0.1264199064465426E+03      0.2379364926145660E-06
                           8                           9     -0.1317602970000000E+03      0.1000000000000000E-05     -0.1357823767552247E+03      0.2072752957464488E-06
                           8                          10     -0.1398056670000000E+03      0.1000000000000000E-05     -0.1464488238720048E+03      0.2306590325831489E-06
                           8                          11     -0.1437613260000000E+03      0.2641000000000000E-02     -0.1558112941806869E+03      0.2012823132273093E-06
                           8                          12     -0.1513693210000000E+03      0.8800000000000000E-03     -0.1664777412974670E+03      0.2236876779167519E-06
                           8                          13     -0.1551747750000000E+03      0.1199100000000000E-01     -0.1685771348826251E+03      0.2135828382223561E-06
                           8                          14     -0.1620250830000000E+03      0.5691400000000000E-01     -0.1792435819994052E+03      0.2404842375070809E-06
                           8                          15     -0.1647580760000000E+03      0.1217160000000000E+00     -0.1813429755845633E+03      0.2423134585929100E-06
                           8                          16     -0.1689503610000000E+03      0.1648800000000000E+00     -0.1920094227013434E+03      0.2713379516287686E-06
                           8                          17     -0.1681930460000000E+03      0.1650750000000000E+00     -0.1941088162865015E+03      0.2825050794491296E-06
                           8                          18     -0.1689323490000000E+03      0.1649440000000000E+00     -0.2047752634032816E+03      0.3121073913991627E-06
                           8                          19     -0.1669929210000000E+03      0.5130000000000000E+00     -0.2068746569884397E+03      0.3299962907079721E-06
                           8                          20     -0.1676619210000000E+03      0.7000000000000000E+00     -0.2102780273816958E+03      0.4169349905048140E-06
                           9                           5     -0.7399015700000000E+02      0.4111800000000000E-01     -0.9695090415282186E+02      0.3063374208252909E-06
                           9                           6     -0.9745913000000000E+02      0.1399500000000000E-01     -0.1148804279931259E+03      0.2144047240904791E-06
                           9                           7     -0.1114169410000000E+03      0.8319999999999999E-02     -0.1242428983018081E+03      0.2936285785049375E-06
                           9                           8     -0.1282168210000000E+03      0.2550000000000000E-03     -0.1349093454185881E+03      0.2079520885815178E-06
                           9                           9     -0.1373667290000000E+03      0.4680000000000000E-03     -0.1442718157272703E+03      0.2906099346973831E-06
                           9                          10     -0.1477985870000000E+03      0.1000000000000000E-05     -0.1549382628440503E+03      0.2018948481849847E-06
                           9                          11     -0.1543999250000000E+03      0.4000000000000000E-04     -0.1643007331527324E+03      0.2879814218312111E-06
                           9                          12     -0.1625013980000000E+03      0.1806000000000000E-02     -0.1749671802695125E+03      0.1962696141713798E-06
                           9                          13     -0.1677317350000000E+03      0.1240800000000000E-01     -0.1843296505781946E+03      0.2857538059941744E-06
                           9                          14     -0.1753111570000000E+03      0.3332700000000000E-01     -0.1877330209714507E+03      0.2079099153931296E-06
                           9                          15     -0.1791232130000000E+03      0.9768000000000000E-01     -0.1970954912801328E+03      0.2886642988182681E-06
                           9                          16     -0.1834048950000000E+03      0.9644999999999999E-01     -0.2077619383969129E+03      0.2022128535977062E-06
                           9                          17     -0.1841614850000000E+03      0.1112020000000000E+00     -0.2098613319820710E+03      0.3049492440579068E-06
                           9                          18     -0.1854314090000000E+03      0.3898260000000000E+00     -0.2132647023753271E+03      0.2768057959361604E-06
                           9                          19     -0.1852114210000000E+03      0.3930360000000000E+00     -0.2226271726840092E+03      0.3326501612172997E-06
                           9                          20     -0.1868741440000000E+03      0.5253640000000001E+00     -0.2260305430772652E+03      0.3245174770904153E-06
                           9                          21     -0.1869872450000000E+03      0.6000000000000000E+00     -0.2353930133859474E+03      0.3692063682162897E-06
