                           x                ground state                 1st excited                 2nd excited
     -0.7869674185463660E+01      0.3122693185979827E-08      0.1648673335352873E-05      0.3607555412158480E-01
     -0.7769423558897245E+01      0.4151965974532713E-08      0.2015002807797256E-05      0.3656243266130443E-01
     -0.7669172932330827E+01      0.5520497988984633E-08      0.2462729413013956E-05      0.3705003424199223E-01
     -0.7568922305764412E+01      0.7340112668282165E-08      0.3009939310381805E-05      0.3753829155317780E-01
     -0.7468671679197996E+01      0.9759491641802743E-08      0.3678737340893954E-05      0.3802713719387196E-01
     -0.7368421052631579E+01      0.1297632358103191E-07      0.4496139964214077E-05      0.3851650368186832E-01
     -0.7268170426065163E+01      0.1725345744030116E-07      0.5495166603248379E-05      0.3900632346306133E-01
     -0.7167919799498748E+01      0.2294037997639236E-07      0.6716173481649565E-05      0.3949652892076926E-01
     -0.7067669172932332E+01      0.3050177248741279E-07      0.8208483835392859E-05      0.3998705238506727E-01
     -0.6967418546365916E+01      0.4055548015437302E-07      0.1003238035169073E-04      0.4047782614212985E-01
     -0.6867167919799499E+01      0.5392299648232592E-07      0.1226154032088090E-04      0.4096878244357473E-01
     -0.6766917293233083E+01      0.7169658794792983E-07      0.1498601187055213E-04      0.4145985351581100E-01
     -0.6666666666666668E+01      0.9532854363949433E-07      0.1831585150860546E-04      0.4195097156938984E-01
     -0.6566416040100250E+01      0.1267498425311368E-06      0.2238556991560789E-04      0.4244206880835125E-01
     -0.6466165413533835E+01      0.1685279347422563E-06      0.2735956557677891E-04      0.4293307743956978E-01
     -0.6365914786967419E+01      0.2240765291803203E-06      0.3343876574806863E-04      0.4342392968208138E-01
     -0.6265664160401004E+01      0.2979345294034428E-06      0.4086874302165124E-04      0.4391455777639561E-01
     -0.6165413533834588E+01      0.3961369097156117E-06      0.4994963536400692E-04      0.4440489399377429E-01
     -0.6065162907268171E+01      0.5267078359435804E-06      0.6104827035169644E-04      0.4489487064545357E-01
     -0.5964912280701755E+01      0.7003163240495381E-06      0.7461298336982224E-04      0.4538442009177174E-01
     -0.5864661654135340E+01      0.9311480107620235E-06      0.9119172836191522E-04      0.4587347475115527E-01
     -0.5764411027568922E+01      0.1238064269053678E-05      0.1114542127240689E-03      0.4636196710885484E-01
     -0.5664160401002507E+01      0.1646143380300547E-05      0.1362189504928742E-03      0.4684982972527919E-01
     -0.5563909774436091E+01      0.2188729693057959E-05      0.1664863266522442E-03      0.4733699524365986E-01
     -0.5463659147869675E+01      0.2910158206111338E-05      0.2034790082035924E-03      0.4782339639661139E-01
     -0.5363408521303260E+01      0.3869377202532538E-05      0.2486913344136872E-03      0.4830896601084821E-01
     -0.5263157894736842E+01      0.5144764941433575E-05      0.3039496813606464E-03      0.4879363700885157E-01
     -0.5162907268170427E+01      0.6840533980282950E-05      0.3714862391853728E-03      0.4927734240544860E-01
     -0.5062656641604011E+01      0.9095246425261260E-05      0.4540291822167705E-03      0.4976001529594381E-01
     -0.4962406015037594E+01      0.1209313588842017E-04      0.5549128742322759E-03      0.5024158883017574E-01
     -0.4862155388471178E+01      0.1607916126007591E-04      0.6782125602332208E-03      0.5072199616315218E-01
     -0.4761904761904763E+01      0.2137902231608950E-04      0.8289089848295209E-03      0.5120117036670679E-01
     -0.4661654135338347E+01      0.2842577257594644E-04      0.1013089585364412E-02      0.5167904427625589E-01
     -0.4561403508771932E+01      0.3779520380923003E-04      0.1238194383614027E-02      0.5215555022954025E-01
     -0.4461152882205514E+01      0.5025289314199272E-04      0.1513316501993814E-02      0.5263061962558192E-01
     -0.4360902255639099E+01      0.6681675627118087E-04      0.1849569429664347E-02      0.5310418218442457E-01
     -0.4260651629072683E+01      0.8884021643092370E-04      0.2260535845960524E-02      0.5357616470893747E-01
     -0.4160401002506266E+01      0.1181227813517901E-03      0.2762816074133053E-02      0.5404648901807914E-01
     -0.4060150375939850E+01      0.1570570557497048E-03      0.3376698204521435E-02      0.5451506850166565E-01
     -0.3959899749373434E+01      0.2088241847725033E-03      0.4126976723200571E-02      0.5498180238197795E-01
     -0.3859649122807017E+01      0.2776536607971087E-03      0.5043952243087857E-02      0.5544656616125964E-01
     -0.3759398496240603E+01      0.3691686404669394E-03      0.6164651770168444E-02      0.5590919572677453E-01
     -0.3659147869674186E+01      0.4908448079457312E-03      0.7534316877997224E-02      0.5636946091212352E-01
     -0.3558897243107772E+01      0.6526198833058703E-03      0.9208216034144378E-02      0.5682702153787261E-01
     -0.3458646616541355E+01      0.8677027128550438E-03      0.1125384648358730E-01      0.5728135435605208E-01
     -0.3358395989974937E+01      0.1153646153076541E-02      0.1375359891185077E-01      0.5773163172254110E-01
     -0.3258145363408524E+01      0.1533767252936093E-02      0.1680796088343958E-01      0.5817652030723926E-01
     -0.3157894736842106E+01      0.2039021674328960E-02      0.2053932487454329E-01      0.5861384767897657E-01
     -0.3057644110275689E+01      0.2710465633601742E-02      0.2509642730297211E-01      0.5904005146603258E-01
     -0.2957393483709275E+01      0.3602463282854542E-02      0.3065934364285227E-01      0.5944927313663315E-01
     -0.2857142857142858E+01      0.4786808045747166E-02      0.3744473789127821E-01      0.5983187742887348E-01
     -0.2756892230576440E+01      0.6357894155935855E-02      0.4571059332422422E-01      0.6017206107775599E-01
     -0.2656641604010026E+01      0.8438937946050985E-02      0.5575872733011251E-01      0.6044406429705031E-01
     -0.2556390977443609E+01      0.1118888772742171E-01      0.6793169571525969E-01      0.6060636153548499E-01
     -0.2456140350877195E+01      0.1480887602052202E-01      0.8259786566208120E-01      0.6059324638054597E-01
     -0.2355889724310778E+01      0.1954561620956478E-01      0.1001145238768697E+00      0.6030385132122590E-01
     -0.2255639097744361E+01      0.2568701491623076E-01      0.1207555992480700E+00      0.5959063643113418E-01
