                      Radius                ground state               first excited              second excited
      0.3664160401002506E+01     -0.4703680820312435E+02     -0.3839435018314524E+02     -0.2488028008268464E+02
      0.3684210526315789E+01     -0.4706501398196110E+02     -0.3850129410399861E+02     -0.2509662525011410E+02
      0.3704260651629073E+01     -0.4709282163645420E+02     -0.3860681216674944E+02     -0.2531047462851432E+02
      0.3724310776942356E+01     -0.4712023856059428E+02     -0.3871092848366632E+02     -0.2552185804846615E+02
      0.3744360902255639E+01     -0.4714727197931255E+02     -0.3881366669359551E+02     -0.2573080523589706E+02
      0.3764411027568922E+01     -0.4717392895303973E+02     -0.3891504997178474E+02     -0.2593734579140426E+02
      0.3784461152882205E+01     -0.4720021638214298E+02     -0.3901510103960464E+02     -0.2614150917140449E+02
      0.3804511278195489E+01     -0.4722614101116702E+02     -0.3911384217396822E+02     -0.2634332467073631E+02
      0.3824561403508772E+01     -0.4725170943304641E+02     -0.3921129521672655E+02     -0.2654282140698515E+02
      0.3844611528822055E+01     -0.4727692809304187E+02     -0.3930748158370501E+02     -0.2674002830600197E+02
      0.3864661654135338E+01     -0.4730180329273659E+02     -0.3940242227371730E+02     -0.2693497408888617E+02
      0.3884711779448621E+01     -0.4732634119374337E+02     -0.3949613787729855E+02     -0.2712768726008661E+02
      0.3904761904761905E+01     -0.4735054782142516E+02     -0.3958864858536001E+02     -0.2731819609670573E+02
      0.3924812030075188E+01     -0.4737442906841380E+02     -0.3967997419754266E+02     -0.2750652863879827E+02
      0.3944862155388471E+01     -0.4739799069811705E+02     -0.3977013413054865E+02     -0.2769271268072685E+02
      0.3964912280701754E+01     -0.4742123834799591E+02     -0.3985914742617268E+02     -0.2787677576334629E+02
      0.3984962406015037E+01     -0.4744417753288927E+02     -0.3994703275927132E+02     -0.2805874516711490E+02
      0.4005012531328321E+01     -0.4746681364810288E+02     -0.4003380844547362E+02     -0.2823864790593957E+02
      0.4025062656641603E+01     -0.4748915197253831E+02     -0.4011949244880135E+02     -0.2841651072182461E+02
      0.4045112781954886E+01     -0.4751119767159311E+02     -0.4020410238912918E+02     -0.2859236008011499E+02
      0.4065162907268169E+01     -0.4753295580009574E+02     -0.4028765554941496E+02     -0.2876622216546735E+02
      0.4085213032581452E+01     -0.4755443130509670E+02     -0.4037016888285444E+02     -0.2893812287834249E+02
      0.4105263157894735E+01     -0.4757562902856390E+02     -0.4045165901984878E+02     -0.2910808783209376E+02
      0.4125313283208017E+01     -0.4759655371004830E+02     -0.4053214227483378E+02     -0.2927614235053956E+02
