                           x                ground state                 1st excited                 2nd excited
      0.1754385964912281E+01      0.4882130879352630E-01      0.3647822217907364E-02      0.4179822171573507E-01
      0.1854636591478695E+01      0.4871283257406902E-01      0.4064570794577622E-02      0.4092283643957453E-01
      0.1954887218045112E+01      0.4859850410027522E-01      0.4501754763761330E-02      0.4001199909451051E-01
      0.2055137844611529E+01      0.4847835144047156E-01      0.4958944826663028E-02      0.3906772189544178E-01
      0.2155388471177943E+01      0.4835240409285663E-01      0.5435692039229338E-02      0.3809209093233626E-01
      0.2255639097744361E+01      0.4822069297825909E-01      0.5931528252995380E-02      0.3708726156165698E-01
      0.2355889724310774E+01      0.4808325043254839E-01      0.6445966574789423E-02      0.3605545364476663E-01
      0.2456140350877192E+01      0.4794011019869351E-01      0.6978501844844654E-02      0.3499894664382552E-01
      0.2556390977443609E+01      0.4779130741848040E-01      0.7528611132848246E-02      0.3392007458602148E-01
      0.2656641604010023E+01      0.4763687862388363E-01      0.8095754251438891E-02      0.3282122090725522E-01
      0.2756892230576440E+01      0.4747686172809776E-01      0.8679374286651685E-02      0.3170481318667143E-01
      0.2857142857142854E+01      0.4731129601623178E-01      0.9278898144787962E-02      0.3057331778367021E-01
      0.2957393483709271E+01      0.4714022213566037E-01      0.9893737115171183E-02      0.2942923438924420E-01
      0.3057644110275689E+01      0.4696368208604566E-01      0.1052328744824084E-01      0.2827509050367932E-01
      0.3157894736842103E+01      0.4678171920903049E-01      0.1116693094841174E-01      0.2711343585282337E-01
      0.3258145363408520E+01      0.4659437817759270E-01      0.1182403558112050E-01      0.2594683675524871E-01
      0.3358395989974937E+01      0.4640170498507850E-01      0.1249395609345924E-01      0.2477787045276133E-01
      0.3458646616541351E+01      0.4620374693391145E-01      0.1317603464779123E-01      0.2360911941677820E-01
      0.3558897243107769E+01      0.4600055262398189E-01      0.1386960146772460E-01      0.2244316564315145E-01
      0.3659147869674186E+01      0.4579217194071146E-01      0.1457397549580659E-01      0.2128258494804240E-01
      0.3759398496240600E+01      0.4557865604280800E-01      0.1528846506229859E-01      0.2012994127744844E-01
      0.3859649122807017E+01      0.4536005734970306E-01      0.1601236856436940E-01      0.1898778104295283E-01
      0.3959899749373431E+01      0.4513642952868886E-01      0.1674497515504610E-01      0.1785862749621190E-01
      0.4060150375939848E+01      0.4490782748173745E-01      0.1748556544123748E-01      0.1674497515460761E-01
      0.4160401002506266E+01      0.4467430733202116E-01      0.1823341219015333E-01      0.1564928429037706E-01
      0.4260651629072679E+01      0.4443592641013671E-01      0.1898778104341986E-01      0.1457397549539949E-01
      0.4360902255639097E+01      0.4419274324003003E-01      0.1974793123819412E-01      0.1352142433364239E-01
      0.4461152882205511E+01      0.4394481752462937E-01      0.2051311633456614E-01      0.1249395609308381E-01
      0.4561403508771928E+01      0.4369221013118418E-01      0.2128258494853358E-01      0.1149384064870465E-01
      0.4661654135338345E+01      0.4343498307632338E-01      0.2205558148983606E-01      0.1052328744789714E-01
