                           x                ground state                 1st excited                 2nd excited
     -0.1037593984962406E+02      0.7834646429583375E-46      0.1494451185811715E-43      0.1414127856631545E-41
     -0.1027568922305765E+02      0.5735375363921995E-45      0.1075330372867568E-42      0.9999787928527917E-41
     -0.1017543859649123E+02      0.4124161005029789E-44      0.7598790625142535E-42      0.6942949214139691E-40
     -0.1007518796992481E+02      0.2912894397385550E-43      0.5273169996961339E-41      0.4732916195076381E-39
     -0.9974937343358397E+01      0.2020753468304409E-42      0.3593404802241241E-40      0.3167566666331549E-38
     -0.9874686716791981E+01      0.1376846587061889E-41      0.2404528626782061E-39      0.2081207040829185E-37
     -0.9774436090225564E+01      0.9213520879501907E-41      0.1579885324863964E-38      0.1342387137024048E-36
     -0.9674185463659148E+01      0.6055051487803765E-40      0.1019237423508563E-37      0.8499504318382622E-36
     -0.9573934837092732E+01      0.3907928041833017E-39      0.6455973327162249E-37      0.5282542869149146E-35
     -0.9473684210526317E+01      0.2476830028854359E-38      0.4014829054919433E-36      0.3222599316026141E-34
     -0.9373433583959901E+01      0.1541527496048120E-37      0.2451171832373940E-35      0.1929583661271866E-33
     -0.9273182957393484E+01      0.9420985630449501E-37      0.1469143554325101E-34      0.1133952975306770E-32
     -0.9172932330827068E+01      0.5653482416124522E-36      0.8644122345371167E-34      0.6540043594590652E-32
     -0.9072681704260653E+01      0.3331157056814303E-35      0.4992593328677837E-33      0.3701692774704664E-31
     -0.8972431077694235E+01      0.1927162476440716E-34      0.2830495839918628E-32      0.2056052087182860E-30
     -0.8872180451127820E+01      0.1094638177294601E-33      0.1575115192607896E-31      0.1120628509512635E-29
     -0.8771929824561404E+01      0.6104313802660690E-33      0.8603160417575716E-31      0.5993254822373828E-29
     -0.8671679197994989E+01      0.3341967016515029E-32      0.4611923051077975E-30      0.3144973246655332E-28
     -0.8571428571428573E+01      0.1796187415564221E-31      0.2426424839725947E-29      0.1619212370332422E-27
     -0.8471177944862156E+01      0.9476992657593125E-31      0.1252837709834609E-28      0.8179047250171846E-27
     -0.8370927318295740E+01      0.4908447586294801E-30      0.6348167701342772E-28      0.4053152557659820E-26
     -0.8270676691729324E+01      0.2495501857911270E-29      0.3156530383961344E-27      0.1970396696542091E-25
     -0.8170426065162907E+01      0.1245366747962519E-28      0.1540146248762853E-26      0.9396452011077754E-25
     -0.8070175438596491E+01      0.6100253206052728E-28      0.7373721617131686E-26      0.4395441628076852E-24
     -0.7969924812030076E+01      0.2932887371049949E-27      0.3463910500234355E-25      0.2016732257158735E-23
     -0.7869674185463660E+01      0.1383966690095393E-26      0.1596555709860248E-24      0.9075689749655606E-23
     -0.7769423558897245E+01      0.6409505469125937E-26      0.7219735656158285E-24      0.4005669243301935E-22
     -0.7669172932330827E+01      0.2913251985407399E-25      0.3203027024317349E-23      0.1733854967774591E-21
     -0.7568922305764412E+01      0.1299488205728768E-24      0.1394068913032797E-22      0.7359878899778513E-21
     -0.7468671679197996E+01      0.5688445802347925E-24      0.5952157589780489E-22      0.3063561145467026E-20
     -0.7368421052631579E+01      0.2443589441568198E-23      0.2492948431236083E-21      0.1250425858516012E-19
     -0.7268170426065163E+01      0.1030060288019853E-22      0.1024195743455711E-20      0.5004285976000419E-19
     -0.7167919799498748E+01      0.4260724073078546E-22      0.4127294675902875E-20      0.1963613781977333E-18
     -0.7067669172932332E+01      0.1729327426148016E-21      0.1631333663821253E-19      0.7553991704153592E-18
     -0.6967418546365916E+01      0.6887013189028328E-21      0.6324072250804215E-19      0.2848917027360700E-17
     -0.6867167919799499E+01      0.2691109705695817E-20      0.2404414604337225E-18      0.1053275559579498E-16
